DRXFDCD,foodcode,food_description,CYCLE
11115100,11115300,"Buttermilk, whole",17_20
11115200,11115300,"Buttermilk, whole",17_20
11321200,11321000,"Soy milk, chocolate",17_20
11440020,11440070,"Vegetable dip, yogurt based",17_20
11480020,11480100,"Baby Toddler yogurt, with fruit",17_20
11480030,11480100,"Baby Toddler yogurt, with fruit",17_20
11480040,11480100,"Baby Toddler yogurt, with fruit",17_20
11511610,11511300,"Chocolate milk, ready to drink, fat free",17_20
11513000,11513150,"Chocolate milk, made from dry mix with reduced fat milk",17_20
11513200,11513300,"Chocolate milk, made from dry mix with fat free milk",17_20
11710050,11710051,"Infant formula, Similac Alimentum, ready-to-feed",17_20
11710053,11710056,"Infant formula, Similac Alimentum, powder, made with water",17_20
11710054,11710056,"Infant formula, Similac Alimentum, powder, made with water",17_20
11710055,11710056,"Infant formula, Similac Alimentum, powder, made with water",17_20
11710350,11710351,"Infant formula, Similac Advance, ready-to-feed",17_20
11710360,11710955,"Infant formula, organic, ready-to-feed",17_20
11710361,11710955,"Infant formula, organic, ready-to-feed",17_20
11710363,11710954,"Infant formula, organic, powder, made with water",17_20
11710367,11710954,"Infant formula, organic, powder, made with water",17_20
11710368,11710954,"Infant formula, organic, powder, made with water",17_20
11710369,11710954,"Infant formula, organic, powder, made with water",17_20
11710370,11710371,"Infant formula, Similac Sensitive, ready-to-feed",17_20
11710380,11710381,"Infant formula, Similac for Spit-Up, ready-to-feed",17_20
11710470,11710945,"Infant formula, premature, ready-to-feed",17_20
11710471,11710945,"Infant formula, premature, ready-to-feed",17_20
11710473,11710935,"Infant formula, premature, powder, made with water",17_20
11710477,11710935,"Infant formula, premature, powder, made with water",17_20
11710478,11710935,"Infant formula, premature, powder, made with water",17_20
11710479,11710935,"Infant formula, premature, powder, made with water",17_20
11710480,11710481,"Toddler formula, Similac Go and Grow",17_20
11710620,11710621,"Infant formula, Enfamil Premium Newborn, ready-to-feed",17_20
11710626,11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water",17_20
