DRXFDCD,foodcode,food_description,CYCLE
11710627,11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water",17_20
11710628,11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water",17_20
11710630,11710631,"Infant formula, Enfamil Infant, ready-to-feed",17_20
11710660,11710661,"Infant formula, Enfamil AR, ready-to-feed",17_20
11710663,11710669,"Infant formula, Enfamil AR, powder, made with water",17_20
11710664,11710669,"Infant formula, Enfamil AR, powder, made with water",17_20
11710665,11710945,"Infant formula, premature, ready-to-feed",17_20
11710666,11710945,"Infant formula, premature, ready-to-feed",17_20
11710667,11710935,"Infant formula, premature, powder, made with water",17_20
11710668,11710669,"Infant formula, Enfamil AR, powder, made with water",17_20
11710670,11710671,"Infant formula, Enfamil Gentlease, ready-to-feed",17_20
11710674,11710935,"Infant formula, premature, powder, made with water",17_20
11710675,11710935,"Infant formula, premature, powder, made with water",17_20
11710676,11710935,"Infant formula, premature, powder, made with water",17_20
11710680,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710681,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710683,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710687,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710688,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710690,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710693,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710697,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710698,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710699,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11710800,11710801,"Toddler formula, PediaSure",17_20
11710805,11710801,"Toddler formula, PediaSure",17_20
11710806,11710801,"Toddler formula, PediaSure",17_20
11710910,11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",17_20
11710913,11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",17_20
11710920,11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",17_20
11710923,11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",17_20
11710927,11720617,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",17_20
11710928,11720618,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",17_20
11710929,11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",17_20
11710940,11710921,"Infant formula, Gerber Good Start Gentle, Stage 2",17_20
11710960,11710955,"Infant formula, organic, ready-to-feed",17_20
11710962,11710954,"Infant formula, organic, powder, made with water",17_20
11710963,11710955,"Infant formula, organic, ready-to-feed",17_20
11720310,11720311,"Infant formula, Enfamil ProSobee, ready-to-feed",17_20
11720313,11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water",17_20
11720320,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11720323,11710689,"Toddler formula, Enfamil Enfagrow",17_20
11720410,11720411,"Infant formula, Similac Isomil Soy, ready-to-feed",17_20
11720413,11720419,"Infant formula, Similac Isomil Soy, powder, made with baby water",17_20
11720431,11720411,"Infant formula, Similac Isomil Soy, ready-to-feed",17_20
11720610,11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",17_20
11720613,11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",17_20
11720620,11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",17_20
11720800,11720809,"Infant formula, store brand, soy",17_20
11720801,11720809,"Infant formula, store brand, soy",17_20
11720803,11720809,"Infant formula, store brand, soy",17_20
11720807,11720809,"Infant formula, store brand, soy",17_20
11720808,11720809,"Infant formula, store brand, soy",17_20
11740310,11740311,"Infant formula, Enfamil Nutramigen, ready-to-feed",17_20
11740320,11740405,"Infant formula, amino acids",17_20
11740323,11740405,"Infant formula, amino acids",17_20
11740400,11740401,"Infant formula, Enfamil Pregestimil, ready-to-feed",17_20
11740511,11710945,"Infant formula, premature, ready-to-feed",17_20
11740521,11710945,"Infant formula, premature, ready-to-feed",17_20
11811000,11810000,"Milk, dry, not reconstituted, NS as to fat content",17_20
11812000,11810000,"Milk, dry, not reconstituted, NS as to fat content",17_20
12350210,12350250,"Vegetable dip, regular",17_20
12350215,12350255,"Vegetable dip, light",17_20
13140710,13140700,Creamsicle,17_20
13310000,67408010,Baby Toddler pudding,17_20
13311000,67408010,Baby Toddler pudding,17_20
13312000,67408010,Baby Toddler pudding,17_20
14710200,72302100,"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",17_20
20000070,20000300,"Baby Toddler meat, NFS",17_20
20000090,22820000,Baby Toddler meat stick,17_20
21000110,21000100,"Beef, NFS",17_20
21000120,21000100,"Beef, NFS",17_20
21001010,21001000,"Steak, NS as to type of meat, NS as to fat eaten",17_20
21001020,21001000,"Steak, NS as to type of meat, NS as to fat eaten",17_20
21002000,21416000,"Beef, corned",17_20
21003000,21000100,"Beef, NFS",17_20
21101010,21101140,"Beef, steak, chuck",17_20
21101020,21101140,"Beef, steak, chuck",17_20
21101110,21101140,"Beef, steak, chuck",17_20
21101120,21101140,"Beef, steak, chuck",17_20
21101130,21101140,"Beef, steak, chuck",17_20
21102110,21101140,"Beef, steak, chuck",17_20
21102120,21101140,"Beef, steak, chuck",17_20
21102130,21101140,"Beef, steak, chuck",17_20
21103110,21104110,"Beef, steak, country fried",17_20
21103120,21104110,"Beef, steak, country fried",17_20
21103130,21104110,"Beef, steak, country fried",17_20
21104120,21104110,"Beef, steak, country fried",17_20
21104130,21104110,"Beef, steak, country fried",17_20
21105110,21101140,"Beef, steak, chuck",17_20
21105120,21101140,"Beef, steak, chuck",17_20
21105130,21101140,"Beef, steak, chuck",17_20
21304000,21304200,"Beef, shortribs",17_20
21304110,21304200,"Beef, shortribs",17_20
21304120,21304200,"Beef, shortribs",17_20
21304210,21304200,"Beef, shortribs",17_20
21304220,21304200,"Beef, shortribs",17_20
21401110,21401000,"Beef, roast",17_20
21401120,21401000,"Beef, roast",17_20
26137142,26137140,"Fish, salmon, fried",17_20
26137143,26137140,"Fish, salmon, fried",17_20
26137144,26137140,"Fish, salmon, fried",17_20
26137170,26137190,"Fish, salmon, smoked",17_20
26139110,26139180,"Fish, sardines, canned",17_20
26139170,26100190,"Fish, smoked",17_20
26139190,26139180,"Fish, sardines, canned",17_20
26141131,26141130,"Fish, bass, baked or broiled, coated",17_20
26141180,26119180,"Fish, pickled",17_20
26143120,26143110,"Fish, shark",17_20
26143121,26143110,"Fish, shark",17_20
26143130,26143110,"Fish, shark",17_20
26143131,26143110,"Fish, shark",17_20
26143140,26143110,"Fish, shark",17_20
26143160,26143110,"Fish, shark",17_20
26149120,26149110,"Fish, swordfish",17_20
26149121,26149110,"Fish, swordfish",17_20
26149130,26149110,"Fish, swordfish",17_20
26149131,26149110,"Fish, swordfish",17_20
26149140,26149110,"Fish, swordfish",17_20
26149160,26149110,"Fish, swordfish",17_20
26151121,26151120,"Fish, trout, baked or broiled",17_20
26151122,26151120,"Fish, trout, baked or broiled",17_20
26151124,26151120,"Fish, trout, baked or broiled",17_20
26151131,26151130,"Fish, trout, baked or broiled, coated",17_20
26151132,26151130,"Fish, trout, baked or broiled, coated",17_20
26151133,26151130,"Fish, trout, baked or broiled, coated",17_20
26151134,26151130,"Fish, trout, baked or broiled, coated",17_20
26151141,26151140,"Fish, trout, fried",17_20
26151142,26151140,"Fish, trout, fried",17_20
26151143,26151140,"Fish, trout, fried",17_20
26151144,26151140,"Fish, trout, fried",17_20
26151190,26100190,"Fish, smoked",17_20
26153122,26153120,"Fish, tuna, cooked",17_20
26153130,26153120,"Fish, tuna, cooked",17_20
26153131,26153120,"Fish, tuna, cooked",17_20
26153140,26153120,"Fish, tuna, cooked",17_20
26153160,26153120,"Fish, tuna, cooked",17_20
26153170,26100190,"Fish, smoked",17_20
26153190,26100190,"Fish, smoked",17_20
26155180,26155110,"Fish, tuna, canned",17_20
26155190,26155110,"Fish, tuna, canned",17_20
26157121,26157120,"Fish, whiting, baked or broiled",17_20
26157122,26157120,"Fish, whiting, baked or broiled",17_20
26157124,26157120,"Fish, whiting, baked or broiled",17_20
26157131,26157130,"Fish, whiting, baked or broiled, coated",17_20
26157132,26157130,"Fish, whiting, baked or broiled, coated",17_20
26157133,26157130,"Fish, whiting, baked or broiled, coated",17_20
26157134,26157130,"Fish, whiting, baked or broiled, coated",17_20
26157141,26157140,"Fish, whiting, fried",17_20
26157142,26157140,"Fish, whiting, fried",17_20
26157143,26157140,"Fish, whiting, fried",17_20
26157144,26157140,"Fish, whiting, fried",17_20
26158011,26158010,"Fish, tilapia, baked or broiled",17_20
26158012,26158010,"Fish, tilapia, baked or broiled",17_20
26158014,26158010,"Fish, tilapia, baked or broiled",17_20
26158021,26158020,"Fish, tilapia, baked or broiled, coated",17_20
26158022,26158020,"Fish, tilapia, baked or broiled, coated",17_20
26158023,26158020,"Fish, tilapia, baked or broiled, coated",17_20
26158024,26158020,"Fish, tilapia, baked or broiled, coated",17_20
26158031,26158030,"Fish, tilapia, fried",17_20
26158032,26158030,"Fish, tilapia, fried",17_20
26158033,26158030,"Fish, tilapia, fried",17_20
26158034,26158030,"Fish, tilapia, fried",17_20
26203160,26203110,Frog legs,17_20
26205160,26205110,Octopus,17_20
26205170,26205110,Octopus,17_20
26205180,26205110,Octopus,17_20
26205190,26205110,Octopus,17_20
26207110,26211100,Caviar,17_20
26209100,26211100,Caviar,17_20
26213100,26213120,"Calamari, cooked",17_20
26213121,26213120,"Calamari, cooked",17_20
26213130,26213120,"Calamari, cooked",17_20
26213131,26213120,"Calamari, cooked",17_20
26213160,26213120,"Calamari, cooked",17_20
26213170,26213120,"Calamari, cooked",17_20
26213180,26213120,"Calamari, cooked",17_20
26213190,26213120,"Calamari, cooked",17_20
26301140,26301110,Abalone,17_20
26301160,26301110,Abalone,17_20
26303121,26303120,"Clams, baked or broiled",17_20
26303130,26303120,"Clams, baked or broiled",17_20
26303131,26303120,"Clams, baked or broiled",17_20
26303190,26303110,"Clams, NFS",17_20
26305110,26305160,Crab,17_20
26305120,26305160,Crab,17_20
26305121,26305160,Crab,17_20
26305130,26307140,"Crab, soft shell",17_20
26305131,26307140,"Crab, soft shell",17_20
26311120,26311110,Lobster,17_20
26311121,26311110,Lobster,17_20
26311140,26311110,Lobster,17_20
26311160,26311110,Lobster,17_20
26311170,26311110,Lobster,17_20
26311171,26311110,Lobster,17_20
26311180,26311110,Lobster,17_20
26313100,26313110,Mussels,17_20
26313160,26313110,Mussels,17_20
26315110,26315120,"Oysters, baked or broiled",17_20
26315121,26315120,"Oysters, baked or broiled",17_20
26315160,26315120,"Oysters, baked or broiled",17_20
26315161,26315120,"Oysters, baked or broiled",17_20
26315190,26315120,"Oysters, baked or broiled",17_20
26317110,26317120,"Scallops, baked or broiled",17_20
26317160,26317120,"Scallops, baked or broiled",17_20
26317161,26317120,"Scallops, baked or broiled",17_20
26319121,26319120,"Shrimp, baked or broiled",17_20
26319122,26319120,"Shrimp, baked or broiled",17_20
26319124,26319120,"Shrimp, baked or broiled",17_20
26319141,26319140,"Shrimp, fried",17_20
26319142,26319140,"Shrimp, fried",17_20
26319143,26319140,"Shrimp, fried",17_20
26319144,26319140,"Shrimp, fried",17_20
26319145,26319140,"Shrimp, fried",17_20
26319161,26319160,"Shrimp, baked or broiled, coated",17_20
26319162,26319160,"Shrimp, baked or broiled, coated",17_20
26319163,26319160,"Shrimp, baked or broiled, coated",17_20
26319164,26319160,"Shrimp, baked or broiled, coated",17_20
27111310,27111300,"Beef stew, no potatoes, tomato-based sauce, Mexican style",17_20
27130050,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27150020,27250040,"Crab, cake",17_20
27150030,27250040,"Crab, cake",17_20
27150060,27150130,Seafood thermidor,17_20
27150070,26311110,Lobster,17_20
27150330,26313110,Mussels,17_20
27150350,26139180,"Fish, sardines, canned",17_20
27150370,26139180,"Fish, sardines, canned",17_20
27160010,27116200,"Barbecue beef, with sauce",17_20
27211100,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
27211150,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
27211200,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
27250020,27250270,Clams Casino,17_20
27250030,27250050,"Fish, cake or patty",17_20
27250080,27250070,"Fish, salmon cake or patty",17_20
27250220,26315140,"Oysters, fried",17_20
27250300,27250050,"Fish, cake or patty",17_20
27250310,27250050,"Fish, cake or patty",17_20
27260510,58111110,"Wonton, dumpling or pot sticker, fried",17_20
27320020,58116120,"Empanada, beef, with vegetables",17_20
27330010,27311510,Shepherd's pie,17_20
27330030,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27330110,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27330220,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27332100,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27332110,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27336150,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27341320,27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",17_20
27341510,27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",17_20
27350030,27151070,Bacalao guisado,17_20
27350070,27347100,"Pot pie, chicken",17_20
27350200,27347100,"Pot pie, chicken",17_20
27351030,27151070,Bacalao guisado,17_20
27360010,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
27360050,58116120,"Empanada, beef, with vegetables",17_20
27360100,27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",17_20
27430410,27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",17_20
27430500,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
27430510,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",17_20
67104060,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67104070,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67104080,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67104090,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67106010,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67106030,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67106050,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67108000,67108040,"Baby Toddler peaches, Stage 2",17_20
67108020,67108040,"Baby Toddler peaches, Stage 2",17_20
67108030,67108040,"Baby Toddler peaches, Stage 2",17_20
67109000,67109040,"Baby Toddler pears, Stage 2",17_20
67109020,67109040,"Baby Toddler pears, Stage 2",17_20
67109030,67109040,"Baby Toddler pears, Stage 2",17_20
67113000,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67113010,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67113020,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67114000,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67114010,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67114020,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67202010,67202000,"Baby Toddler juice, apple",17_20
67203000,67202000,"Baby Toddler juice, apple",17_20
67203200,67202000,"Baby Toddler juice, apple",17_20
67203400,67202000,"Baby Toddler juice, apple",17_20
67203500,67202000,"Baby Toddler juice, apple",17_20
67203600,67202000,"Baby Toddler juice, apple",17_20
67203700,67202000,"Baby Toddler juice, apple",17_20
67204100,67204000,"Baby Toddler juice, mixed fruit",17_20
67205000,67201000,"Baby Toddler juice, NFS",17_20
67211000,67204000,"Baby Toddler juice, mixed fruit",17_20
67230000,67230600,"Baby Toddler juice, fruit and vegetable",17_20
67230500,67230600,"Baby Toddler juice, fruit and vegetable",17_20
67250100,67250150,"Baby Toddler juice, fruit and yogurt blend",17_20
67260000,67201000,"Baby Toddler juice, NFS",17_20
67304000,67110000,Baby Toddler prunes,17_20
67304010,67110000,Baby Toddler prunes,17_20
67304020,67110000,Baby Toddler prunes,17_20
67304030,67100250,"Baby Toddler fruit, with grain",17_20
67304500,67100250,"Baby Toddler fruit, with grain",17_20
67307000,67100000,"Baby Toddler fruit, NFS",17_20
67307010,67100000,"Baby Toddler fruit, NFS",17_20
67307020,67100000,"Baby Toddler fruit, NFS",17_20
67308000,67105040,"Baby Toddler bananas, Stage 2",17_20
67308020,67105040,"Baby Toddler bananas, Stage 2",17_20
67309000,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67309010,67100100,"Baby Toddler multiple fruit, Stage 2",17_20
67309020,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67309030,67100105,"Baby Toddler multiple fruit, Stage 3",17_20
67404070,67100260,"Baby Toddler fruit, with yogurt",17_20
67404300,67100260,"Baby Toddler fruit, with yogurt",17_20
67404500,67100260,"Baby Toddler fruit, with yogurt",17_20
67408500,67100260,"Baby Toddler fruit, with yogurt",17_20
67410000,67408010,Baby Toddler pudding,17_20
67413700,67100260,"Baby Toddler fruit, with yogurt",17_20
67415000,67408010,Baby Toddler pudding,17_20
67415010,67408010,Baby Toddler pudding,17_20
67415020,67408010,Baby Toddler pudding,17_20
67430000,53800000,"Baby Toddler snack, NFS",17_20
67501000,67100480,Baby Toddler fruit and meat,17_20
67501100,67100480,Baby Toddler fruit and meat,17_20
67600100,67100350,"Baby Toddler fruit and vegetables, Stage 2",17_20
71201060,71201050,"Potato chips, reduced fat",17_20
71201210,71201200,"Potato chips, restructured, reduced fat, lightly salted",17_20
71202100,71201200,"Potato chips, restructured, reduced fat, lightly salted",17_20
71945010,73401000,"Sweet potato, NFS",17_20
71950010,71962040,"Taro, cooked",17_20
71980100,71962040,"Taro, cooked",17_20
72107223,72107234,"Collards, canned, cooked with butter or margarine",17_20
72118213,72128213,"Turnip greens, canned, cooked, no added fat",17_20
72119223,72128213,"Turnip greens, canned, cooked, no added fat",17_20
72121211,75210020,"Cabbage, Chinese, cooked, fat added",17_20
72122223,72128223,"Turnip greens, canned, cooked, fat added",17_20
21407110,21407000,"Beef, pot roast",17_20
21407120,21407000,"Beef, pot roast",17_20
21410110,21410000,"Beef, stew meat",17_20
21410120,21410000,"Beef, stew meat",17_20
21416110,21416000,"Beef, corned",17_20
21416120,21416000,"Beef, corned",17_20
21416150,21416000,"Beef, corned",17_20
21417110,21417100,"Beef, brisket",17_20
21417120,21417100,"Beef, brisket",17_20
21701000,21701010,Baby Toddler beef,17_20
21701020,21701010,Baby Toddler beef,17_20
22000110,22000100,"Pork, NFS",17_20
22000120,22000100,"Pork, NFS",17_20
22000200,22000100,"Pork, NFS",17_20
22000210,22000100,"Pork, NFS",17_20
22000220,22000100,"Pork, NFS",17_20
22000300,22101300,"Pork, chop, coated, NS as to fat eaten",17_20
22000310,22101300,"Pork, chop, coated, NS as to fat eaten",17_20
22000320,22101320,"Pork, chop, coated, lean only eaten",17_20
22001000,22707020,"Pork, pig's feet, pickled",17_20
22002100,22002000,"Pork, ground",17_20
22101100,22101000,"Pork, chop, NS as to fat eaten",17_20
22101110,22101010,"Pork, chop, lean and fat eaten",17_20
22101120,22101020,"Pork, chop, lean only eaten",17_20
22101130,22101300,"Pork, chop, coated, NS as to fat eaten",17_20
22101140,22101310,"Pork, chop, coated, lean and fat eaten",17_20
22101150,22101320,"Pork, chop, coated, lean only eaten",17_20
22101200,22101300,"Pork, chop, coated, NS as to fat eaten",17_20
22101210,22101310,"Pork, chop, coated, lean and fat eaten",17_20
22101220,22101320,"Pork, chop, coated, lean only eaten",17_20
22101400,22101310,"Pork, chop, coated, lean and fat eaten",17_20
22101410,22101310,"Pork, chop, coated, lean and fat eaten",17_20
22101420,22101320,"Pork, chop, coated, lean only eaten",17_20
22101500,22101000,"Pork, chop, NS as to fat eaten",17_20
22101510,22101010,"Pork, chop, lean and fat eaten",17_20
22101520,22101020,"Pork, chop, lean only eaten",17_20
22107000,22101000,"Pork, chop, NS as to fat eaten",17_20
22107010,22101010,"Pork, chop, lean and fat eaten",17_20
22107020,22101020,"Pork, chop, lean only eaten",17_20
22201000,22201100,"Pork, steak, NS as to fat eaten",17_20
22201010,22201110,"Pork, steak, lean and fat eaten",17_20
22201020,22201120,"Pork, steak, lean only eaten",17_20
22201050,22201400,"Pork, steak, coated",17_20
22201060,22201400,"Pork, steak, coated",17_20
22201070,22201400,"Pork, steak, coated",17_20
22201200,22201100,"Pork, steak, NS as to fat eaten",17_20
22201210,22201110,"Pork, steak, lean and fat eaten",17_20
22201220,22201120,"Pork, steak, lean only eaten",17_20
22201300,22201400,"Pork, steak, coated",17_20
22201310,22201400,"Pork, steak, coated",17_20
22201320,22201400,"Pork, steak, coated",17_20
22201410,22201400,"Pork, steak, coated",17_20
22201420,22201400,"Pork, steak, coated",17_20
22210310,22210300,"Pork, tenderloin",17_20
22210350,22210300,"Pork, tenderloin",17_20
22210400,22210300,"Pork, tenderloin",17_20
22210450,22210300,"Pork, tenderloin",17_20
22300120,22311000,Ham,17_20
22300130,22311000,Ham,17_20
22300140,22311000,Ham,17_20
22300150,22311000,Ham,17_20
22300160,22311000,Ham,17_20
22300170,22311000,Ham,17_20
22301000,22311000,Ham,17_20
22301110,22311000,Ham,17_20
22301120,22311000,Ham,17_20
22311010,22311000,Ham,17_20
22311020,22311000,Ham,17_20
22311510,22311500,"Ham, canned",17_20
22311520,22311500,"Ham, canned",17_20
22400110,22400100,"Pork, roast",17_20
22400120,22400100,"Pork, roast",17_20
22401000,22400100,"Pork, roast",17_20
22401010,22400100,"Pork, roast",17_20
22401020,22400100,"Pork, roast",17_20
22411000,22400100,"Pork, roast",17_20
22411010,22400100,"Pork, roast",17_20
22411020,22400100,"Pork, roast",17_20
22421000,22400100,"Pork, roast",17_20
22421010,22400100,"Pork, roast",17_20
22421020,22400100,"Pork, roast",17_20
22621000,22621100,"Fat back, cooked",17_20
22701010,22701000,"Pork, ribs",17_20
22701020,22701000,"Pork, ribs",17_20
22701030,22701000,"Pork, ribs",17_20
22701040,22701000,"Pork, ribs",17_20
22701050,22701000,"Pork, ribs",17_20
22709110,22709010,Pork skin rinds,17_20
23101010,23101000,"Lamb, chop",17_20
23101020,23101000,"Lamb, chop",17_20
23104000,23101000,"Lamb, chop",17_20
23104010,23101000,"Lamb, chop",17_20
23104020,23101000,"Lamb, chop",17_20
23107000,23101000,"Lamb, chop",17_20
23107010,23101000,"Lamb, chop",17_20
23107020,23101000,"Lamb, chop",17_20
23110000,23000100,"Lamb, NS as to cut",17_20
23110010,23000100,"Lamb, NS as to cut",17_20
23110050,23000100,"Lamb, NS as to cut",17_20
23111010,23000100,"Lamb, NS as to cut",17_20
23120100,23000100,"Lamb, NS as to cut",17_20
23120110,23000100,"Lamb, NS as to cut",17_20
23120120,23000100,"Lamb, NS as to cut",17_20
23150200,23150100,Goat,17_20
23150250,23150100,Goat,17_20
23150300,23150100,Goat,17_20
23200100,23201010,"Veal, chop",17_20
23200110,23201010,"Veal, chop",17_20
23200120,23201010,"Veal, chop",17_20
23201020,23201010,"Veal, chop",17_20
23201030,23201010,"Veal, chop",17_20
23203010,23201010,"Veal, chop",17_20
23203020,23201010,"Veal, chop",17_20
23203030,23201010,"Veal, chop",17_20
23203100,23201010,"Veal, chop",17_20
23203110,23201010,"Veal, chop",17_20
23203120,23201010,"Veal, chop",17_20
23204010,23201010,"Veal, chop",17_20
23204020,23201010,"Veal, chop",17_20
23204030,23201010,"Veal, chop",17_20
23204200,23201010,"Veal, chop",17_20
23204210,23201010,"Veal, chop",17_20
23204220,23201010,"Veal, chop",17_20
23205010,23201010,"Veal, chop",17_20
23205020,23201010,"Veal, chop",17_20
23205030,23201010,"Veal, chop",17_20
23210010,23201010,"Veal, chop",17_20
23210020,23201010,"Veal, chop",17_20
23210030,23201010,"Veal, chop",17_20
23220030,23220010,"Veal, ground",17_20
23311100,23310000,Rabbit,17_20
23311120,23310000,Rabbit,17_20
23311200,23310000,Rabbit,17_20
23321050,23321900,Venison/deer jerky,17_20
23321100,23321200,"Venison, steak",17_20
23321250,23321200,"Venison, steak",17_20
23322300,23321200,"Venison, steak",17_20
23322350,23321200,"Venison, steak",17_20
23322400,23321200,"Venison, steak",17_20
23410010,20000300,"Baby Toddler meat, NFS",17_20
23420010,20000300,"Baby Toddler meat, NFS",17_20
24209000,27146011,Barbecue chicken,17_20
24209001,27146011,Barbecue chicken,17_20
24701000,24701010,Baby Toddler chicken,17_20
24701020,24701010,Baby Toddler chicken,17_20
24703000,24703010,Baby Toddler turkey,17_20
24703020,24703010,Baby Toddler turkey,17_20
24705010,22820000,Baby Toddler meat stick,17_20
24706010,22820000,Baby Toddler meat stick,17_20
25110120,25110140,"Liver, beef",17_20
25110420,25110450,"Liver, chicken",17_20
25160110,25160000,Tongue,17_20
25210150,25210110,"Hot dog, NFS",17_20
25210220,25210280,"Hot dog, meat and poultry",17_20
25210240,25210290,"Hot dog, reduced fat",17_20
25210250,25210290,"Hot dog, reduced fat",17_20
25210310,25210410,"Hot dog, turkey",17_20
