DRXFDCD,foodcode,food_description,CYCLE
11553000,11553110,"Fruit smoothie, with whole fruit and dairy",13_14
11553000,11553130,"Fruit smoothie juice drink, with dairy",13_14
11561000,92101850,"Coffee, cafe con leche",13_14
11561000,92101851,"Coffee, cafe con leche, decaffeinated",13_14
11561010,92101850,"Coffee, cafe con leche",13_14
11561010,92101851,"Coffee, cafe con leche, decaffeinated",13_14
56207040,56207082,"Wheat, cream of, cooked, NS as to regular, quick, or instant, made with milk, fat added in cooking",13_14
56207040,56207083,"Wheat, cream of, cooked, NS as to regular, quick, or instant, made with milk, fat not added in cooking",13_14
56207040,56207096,"Wheat, cream of, cooked, instant, made with milk, NS as to fat added in cooking",13_14
56207040,56207095,"Wheat, cream of, cooked, instant, made with milk, fat not added in cooking",13_14
56207040,56207094,"Wheat, cream of, cooked, instant, made with milk, fat added in cooking",13_14
56207040,56207093,"Wheat, cream of, cooked, quick, made with milk, NS as to fat added in cooking",13_14
56207040,56207092,"Wheat, cream of, cooked, quick, made with milk, fat not added in cooking",13_14
56207040,56207091,"Wheat, cream of, cooked, quick, made with milk, fat added in cooking",13_14
56207040,56207088,"Wheat, cream of, cooked, regular, made with milk, NS as to fat added in cooking",13_14
56207040,56207087,"Wheat, cream of, cooked, regular, made with milk, fat not added in cooking",13_14
56207040,56207086,"Wheat, cream of, cooked, regular, made with milk, fat added in cooking",13_14
56207040,56207084,"Wheat, cream of, cooked, NS as to regular, quick, or instant, made with milk, NS as to fat added in cooking",13_14
58151120,58151170,"Sushi roll (maki or temaki), avocado",13_14
58151120,58151230,"Sushi roll (maki or temaki), vegetable",13_14
58151130,58151100,"Sushi, NFS",13_14
58151130,58151180,"Sushi roll (maki or temaki), California",13_14
58151140,58151170,"Sushi roll (maki or temaki), avocado",13_14
58151140,58151230,"Sushi roll (maki or temaki), vegetable",13_14
58151150,58151100,"Sushi, NFS",13_14
58151150,58151440,"Sushi (Nigiri), topped with tuna",13_14
58151150,58151430,"Sushi (Nigiri), topped with shrimp",13_14
