Level.code	Main.food.description
26061	Fish_pike_northern_raw
26062	Fish_carp_raw
2607	Farm_raised_fish
26070	Fish_catfish_channel_farmed_raw
26071	Fish_tilapia_raw
2608	Other_fish
26080	Fish_croaker_Atlantic_raw
26081	Fish_eel_mixed_species_raw
26082	Fish_mullet_striped_raw
26083	Fish_ocean_perch_Atlantic_raw
26084	Fish_pompano_florida_raw
26085	Fish_scup_raw
26086	Fish_shark_mixed_species_raw
26087	Fish_sturgeon_mixed_species_raw
26088	Fish_swordfish_raw
26089	Fish_whiting_mixed_species_raw
2609	Fish_roe_mixed_species_raw
261	Shellfish
2610	Crustaceans
26100	Crustaceans_crab_blue_cooked_moist_heat
26101	Crustaceans_crab_blue_canned
26102	Crustaceans_lobster_northern_cooked_moist_heat
26103	Crustaceans_crayfish_mixed_species_wild_cooked_moist_heat
26104	Crustaceans_shrimp_mixed_species_canned
2611	Mollusks
26110	Mollusks_clam_mixed_species_raw
26111	Mollusks_clam_mixed_species_canned_drained_solids
26112	Mollusks_oyster_eastern_wild_raw
26113	Mollusks_oyster_eastern_canned
26114	Mollusks_scallop_bay_and_sea_cooked_steamed
26115	Mollusks_abalone_mixed_species_raw
26116	Mollusks_squid_mixed_species_raw
26117	Mollusks_octopus_common_raw
26118	Mollusks_mussel_blue_raw
26119	Mollusks_snail_raw
3	Eggs
310	Chicken_eggs
3100	Whole_eggs
31000	Egg_whole_raw_fresh
31001	Egg_whole_cooked_fried
31002	Egg_whole_dried
3101	Egg_parts
31010	Egg_white_raw_fresh
31011	Egg_yolk_raw_fresh
311	Other_poultry_eggs
3110	Egg_duck_whole_fresh_raw
3111	Egg_goose_whole_fresh_raw
3112	Egg_quail_whole_fresh_raw
4	Beans_Peas_Other_Legumes_Nuts_and_Seeds
41	Legumes
410	Beans
4100	Kidney_beans
41000	Beans_kidney_red_mature_seeds_raw
41001	Beans_kidney_red_mature_seeds_cooked_boiled_without_salt
41002	Beans_kidney_red_mature_seeds_canned_solids_and_liquids
4101	Black_beans
41010	Beans_black_mature_seeds_raw
41011	Beans_black_mature_seeds_cooked_boiled_without_salt
41012	Beans_black_turtle_mature_seeds_canned
4102	White_beans
41020	Beans_white_mature_seeds_cooked_boiled_without_salt
41021	Beans_great_northern_mature_seeds_canned
4103	Pinto_beans
41030	Beans_pinto_mature_seeds_raw
41031	Beans_pinto_mature_seeds_cooked_boiled_without_salt
4104	Pink_beans
41040	Beans_pink_mature_seeds_raw
41041	Beans_pink_mature_seeds_cooked_boiled_without_salt
4105	Other_beans
41050	Beans_yellow_mature_seeds_cooked_boiled_without_salt
41051	Beans_baked_canned_plain_or_vegetarian
4106	Lima_beans_immature_seeds_cooked_boiled_drained_without_salt
4107	Cowpeas_blackeyes_immature_seeds_cooked_boiled_drained_without_salt
4108	Pigeonpeas_immature_seeds_cooked_boiled_drained_without_salt
411	Lima_beans_large_mature_seeds_cooked_boiled_without_salt
412	Broadbeans_fava_beans_mature_seeds_cooked_boiled_without_salt
413	Chickpeas
4130	Chickpeas_garbanzo_beans_bengal_gram_mature_seeds_raw
4131	Chickpeas_garbanzo_beans_bengal_gram_mature_seeds_cooked_boiled_without_salt
414	Lentils
4140	Lentils_raw
4141	Lentils_mature_seeds_cooked_boiled_without_salt
415	Peas_split_mature_seeds_cooked_boiled_without_salt
416	Mung_beans_mature_seeds_cooked_boiled_without_salt
417	Soybean_derived_products
4170	Whole_soybeans
41700	Soybeans_mature_cooked_boiled_without_salt
41701	Soybeans_mature_seeds_roasted_salted
4171	Soy_flours_proteins
41710	Soy_flour_fullfat_raw
41711	Soy_flour_defatted
41712	Soy_protein_isolate
4172	Fermented_soy
41720	Miso
41721	Soy_sauce_made_from_soy_tamari
4173	Tofu_soft_prepared_with_calcium_sulfate_and_magnesium_chloride_nigari
4174	Bacon_meatless
42	Nuts_and_nut_butters
420	Tree_nuts
4200	Almonds
42000	Nuts_almonds
42001	Nuts_almonds_dry_roasted_without_salt_added
4201	Nuts_walnuts_english
4202	Nuts_pecans
4203	Nuts_hazelnuts_or_filberts
4204	Nuts_cashew_nuts_dry_roasted_without_salt_added
4205	Nuts_brazilnuts_dried_unblanched
4206	Nuts_pine_nuts_dried
4207	Nuts_pistachio_nuts_dry_roasted_without_salt_added
4208	Nuts_macadamia_nuts_dry_roasted_with_salt_added
4209	Nuts_chestnuts_european_roasted
421	Coconut_products
4210	Nuts_coconut_meat_raw
4211	Nuts_coconut_cream_canned_sweetened
4212	Nuts_coconut_milk_raw_liquid_expressed_from_grated_meat_and_water
422	Peanuts
4220	Peanuts_all_types_dryroasted_without_salt
4221	Peanut_flour_defatted
43	Seeds
430	Seeds_chia_seeds_dried
431	Pumpkin_seeds
4310	Seeds_pumpkin_and_squash_seed_kernels_dried
4311	Seeds_pumpkin_and_squash_seed_kernels_roasted_without_salt
432	Seeds_sesame_seeds_whole_dried
433	Seeds_sunflower_seed_kernels_dry_roasted_without_salt
434	Seeds_flaxseed
5	Grain_Product
51	Wheat_products
510	Wheat_flour
5100	Wheat_flour_wholegrain
5101	Wheat_flour_white_allpurpose_enriched_bleached
5102	Wheat_bran_crude
52	Rice_products
520	Rice_varieties
5200	Rice_brown_longgrain_raw
5201	Rice_white_longgrain_regular_raw_enriched
5202	Wild_rice_raw
5203	Rice_flour_white_unenriched
53	Other_grains
530	Barley_pearled_raw
531	Oat_products
5310	Cereals_oats_regular_and_quick_not_fortified_dry
5311	Oat_bran_raw
532	Corn_products
5320	Corn_flour_masa_enriched_white
5321	Cornmeal_degermed_enriched_yellow
5322	Cereals_corn_grits_white_regular_and_quick_enriched_dry
5323	Hominy_canned_white
533	Millet
5330	Millet_cooked
5331	Millet_puffed
534	Quinoa_cooked
535	Rye_flour_medium
536	Buckwheat
5360	Buckwheat_groats_roasted_cooked
5361	Buckwheat_flour_wholegroat
5370	Tapioca_pearl_dry
5371	Cereals_CREAM_OF_WHEAT_instant_dry
538	Baby_food_cereals
5380	Babyfood_cereal_barley_dry_fortified
5381	Babyfood_cereal_oatmeal_dry_fortified
5382	Babyfood_cereal_Rice_dry_fortified
54	Carob_products
540	Carob_flour
6	Fruits
61	Citrus_fruits_and_juices
610	Oranges
6100	Oranges_raw_all_commercial_varieties
6101	Orange_juice_raw
6102	Orange_juice_frozen_concentrate_unsweetened_undiluted
611	Grapefruits
6110	Grapefruit_raw_pink_and_red_and_white_all_areas
6111	Grapefruit_sections_canned_water_pack_solids_and_liquids
6112	Grapefruit_juice_white_frozen_concentrate_unsweetened_undiluted
6113	Grapefruit_juice_white_raw
612	Lemons_limes
6120	Lemon_juice_raw
6121	Lemon_peel_raw
6122	Limes_raw
6123	Lime_juice_raw
613	Tangerines
6130	Tangerines_mandarin_oranges_raw
6131	Tangerines_mandarin_oranges_canned_juice_pack_drained
614	Kumquats_raw
62	Stone_fruits
620	Peaches
6200	Peaches_yellow_raw
6201	Peaches_canned_water_pack_solids_and_liquids
6202	Peaches_dried_sulfured_uncooked
6203	Peaches_dried_sulfured_stewed_without_added_sugar
6204	Peach_nectar_canned_without_added_ascorbic_acid
621	Apricots
6210	Apricots_raw
6211	Apricots_canned_water_pack_with_skin_solids_and_liquids
6212	Apricots_dried_sulfured_uncooked
6213	Apricots_dried_sulfured_stewed_without_added_sugar
6214	Apricot_nectar_canned_without_added_ascorbic_acid
622	Cherries
6220	Cherries_sweet_raw
6221	Cherries_sweet_canned_water_pack_solids_and_liquids
623	Plums
6230	Plums_raw
6231	Plums_canned_purple_water_pack_solids_and_liquids
6232	Plums_dried_prunes_uncooked
6233	Plums_dried_prunes_stewed_without_added_sugar
6234	Prune_juice_canned
624	Nectarines_raw
63	Pome_fruits
630	Apples
6300	Apples_raw_with_skin
6301	Apples_dried_sulfured_uncooked
6302	Apple_juice_canned_or_bottled_unsweetened_without_added_ascorbic_acid
6303	Apple_juice_frozen_concentrate_unsweetened_undiluted_without_added_ascorbic_acid
6304	Applesauce_unsweetened_with_added_vitamin_C
631	Pears
6310	Pears_raw
6311	Pears_asian_raw
6312	Pears_canned_water_pack_solids_and_liquids
6313	Pears_dried_sulfured_uncooked
6314	Pears_dried_sulfured_stewed_without_added_sugar
6315	Pear_nectar_canned_without_added_ascorbic_acid
64	Berries
640	Strawberries
6400	Strawberries_raw
6401	Strawberries_canned_heavy_syrup_pack_solids_and_liquids
641	Blueberries
6410	Blueberries_raw
6411	Blueberries_canned_heavy_syrup_solids_and_liquids
6412	Blueberries_frozen_sweetened
6413	Blueberries_dried_sweetened
642	Blackberries
6420	Blackberries_raw
6421	Blackberry_juice_canned
6422	Blackberries_canned_heavy_syrup_solids_and_liquids
643	Raspberries
6430	Raspberries_raw
6431	Raspberries_canned_red_heavy_syrup_pack_solids_and_liquids
644	Cranberries
6440	Cranberries_raw
6441	Cranberry_sauce_canned_sweetened
6442	Cranberry_juice_blend_100_juice_bottled_with_added_vitamin_C_and_calcium
645	Other_berries
6450	Boysenberries_frozen_unsweetened
6451	Loganberries_frozen
6452	Mulberries_raw
65	Tropical_fruits
650	Bananas
6500	Bananas_raw
6501	Bananas_dehydrated_or_banana_powder
651	Pineapple
6510	Pineapple_frozen_chunks_sweetened
6511	Pineapple_canned_juice_pack_drained
6512	Pineapple_juice_canned_or_bottled_unsweetened_without_added_ascorbic_acid
652	Mango
6520	Mangos_raw
6521	Mango_nectar_canned
653	Papaya
6530	Papayas_raw
6531	Papaya_nectar_canned
654	Avocados_raw_all_commercial_varieties
655	Other_tropical
6550	Breadfruit_raw
6551	Carambola_starfruit_raw
6552	Guavas_common_raw
6553	Guava_sauce_cooked
6554	Kiwifruit_green_raw
6555	Litchis_raw
6556	Litchis_dried
6557	Passionfruit_granadilla_purple_raw
6558	Passionfruit_juice_purple_raw
6559	Plantains_raw
6560	Plantains_cooked
66	Melons
660	Melons_cantaloupe_raw
661	Melons_honeydew_raw
662	Watermelon_raw
663	Melons_casaba_raw
67	Dried_fruits
670	Raisins_seedless
671	Dates_deglet_noor
672	Figs_dried_uncooked
673	Figs_dried_stewed
674	Currants_zante_dried
68	Other_fruits
680	Grapes
6800	Grapes_red_or_green_European_type_such_as_Thompson_seedless_raw
6801	Grape_juice_canned_or_bottled_unsweetened_with_added_ascorbic_acid
681	Pomegranates
6810	Pomegranates_raw
6811	Pomegranate_juice_bottled
682	Rhubarb_raw
683	Persimmons_japanese_raw
684	Tamarinds_raw
685	Figs
6850	Figs_raw
6851	Figs_canned_water_pack_solids_and_liquids
7	Vegetables
71	White_potatoes
711	Potatoes_flesh_and_skin_raw
712	Potatoes_boiled_cooked_in_skin_flesh_without_salt
713	Potatoes_baked_flesh_and_skin_without_salt
714	Potatoes_canned_drained_solids_no_salt_added
715	Potato_products
7150	Potatoes_mashed_dehydrated_flakes_without_milk_dry_form
7151	Potato_flour
72	Dark_green_vegetables
720	Leafy_greens
7200	Spinach
72000	Spinach_raw
72001	Spinach_cooked_boiled_drained_without_salt
72002	Spinach_canned_regular_pack_drained_solids
7201	Kale
72010	Kale_raw
72011	Kale_cooked_boiled_drained_without_salt
7202	Collards
72020	Collards_raw
72021	Collards_cooked_boiled_drained_without_salt
7203	Chard
72030	Chard_swiss_raw
72031	Chard_swiss_cooked_boiled_drained_without_salt
7204	Beet_greens
72040	Beet_greens_raw
72041	Beet_greens_cooked_boiled_drained_without_salt
7205	Mustard_greens
72050	Mustard_greens_raw
72051	Mustard_greens_cooked_boiled_drained_without_salt
7206	Turnip_greens_canned_no_salt_added
7207	Dandelion_greens
72070	Dandelion_greens_raw
72071	Dandelion_greens_cooked_boiled_drained_without_salt
7208	Other_leafy_greens
72080	Watercress_raw
72081	Arugula_raw
72082	Radicchio_raw
72083	Alfalfa_seeds_sprouted_raw
72084	Coriander_cilantro_leaves_raw
72085	Parsley_fresh
72086	Lettuce_cos_or_romaine_raw
72087	Lettuce_iceberg_includes_crisphead_types_raw
72088	Lettuce_green_leaf_raw
72089	Cabbage_chinese_pakchoi_raw
7209	Balsampear
72090	Balsampear_bitter_gourd_pods_cooked_boiled_drained_without_salt
72091	Balsampear_bitter_gourd_leafy_tips_cooked_boiled_drained_without_salt
721	Broccoli_family
7210	Broccoli
72100	Broccoli_raw
72101	Broccoli_cooked_boiled_drained_without_salt
72102	Broccoli_raab_raw
72103	Broccoli_raab_cooked
72104	Broccoli_chinese_cooked
722	Brussels_sprouts
7220	Brussels_sprouts_raw
7221	Brussels_sprouts_cooked_boiled_drained_without_salt
73	Deep_yellow_vegetables
730	Carrots
7300	Carrots_raw
7301	Carrots_cooked_boiled_drained_without_salt
7302	Carrot_juice_canned
731	Sweet_potatoes
7310	Sweet_potato_cooked_boiled_without_skin
7311	Sweet_potato_canned_vacuum_pack
7312	Sweet_potato_leaves_cooked_steamed_without_salt
732	Squash_winter_all_varieties_cooked_baked_without_salt
733	Pumpkin
7330	Pumpkin_cooked_boiled_drained_without_salt
7331	Pumpkin_canned_without_salt
7332	Pumpkin_flowers_cooked_boiled_drained_without_salt
74	Tomatoes_and_tomato_sauces
740	Fresh_tomatoes
7400	Tomatoes_red_ripe_raw_year_round_average
7401	Tomatoes_sundried
7402	Tomatillos_raw
741	Tomato_products
7410	Tomatoes_red_ripe_canned_stewed
7411	Tomato_juice_canned_with_salt_added
7412	Tomato_products_canned_paste_without_salt_added
