Basic Ingredient Description
"Deer, lean and fat, dried"
"Bison, lean and fat, cooked"
"Squirrel, lean and fat, cooked"
"Chicken, lean and fat, canned"
"Duck, lean and fat, cooked"
"Beef, variety meat, liver, cooked"
"Chicken, variety meat, giblets (incl liver/gizzard), cooked"
"Beef, variety meat, heart, cooked"
"Beef, variety meat, kidney, cooked"
"Beef, variety meat, tongue, cooked"
"Beef, variety meat, tripe, cooked"
"Pork, variety meat, chitterlings, cooked"
"Pork, variety meat, stomach, cooked"
"Celery, cooked"
"Onions, green/spring/scallions, cooked"
"Pork, variety meat, heart, cooked"
"Pork, variety meat, liver, cooked"
"Pork, variety meat, tongue, cooked"
"Bran, oat"
"Cornmeal, degermed"
"Pork, variety meat, skin, cooked"
Honey
"Cucumber, raw"
"Olives, green, pickled"
"Potatoes, dehydrated"
"Celery, raw"
"Egg, white, cooked"
"Flour, soy"
"Fish, catfish, cooked"
"Fish, cod, cooked"
"Fish, salmon, cooked"
"Fish, tilapia, cooked"
"Egg, whole, dried"
"Fish, pollock, cooked"
"Fish, cod, dried"
"Fish, mackerel, canned"
"Fish, anchovy, cooked"
"Fish, anchovy, canned"
"Fish, carp, cooked"
"Fish, croaker, cooked"
"Fish, flatfish, cooked"
"Fish, haddock, cooked"
"Fish, herring, raw"
"Fish, herring, cooked"
"Fish, herring, smoked"
"Fish, mackerel, cooked"
"Fish, mullet, cooked"
"Fish, ocean perch, cooked"
"Fish, perch, cooked"
"Fish, pompano, cooked"
"Fish, porgy/scup, cooked"
"Fish, salmon, canned"
"Fish, salmon, smoked"
"Fish, sardines, cooked"
"Fish, sardines, dried"
"Fish, sardines, canned"
"Fish, sea bass, raw"
"Fish, shark, cooked"
"Fish, smelt, cooked"
"Fish, swordfish, cooked"
"Fish, trout, cooked"
"Fish, trout, smoked"
"Fish, tuna, raw"
"Fish, tuna, canned/cooked"
"Fish, tuna, cooked"
"Fish, tuna, canned"
"Fish, whiting, cooked"
"Frog legs, cooked"
"Mollusks, octopus, cooked"
"Fish roe, shad, cooked"
"Mollusks, squid, canned/cooked"
"Mollusks, squid, cooked"
"Mollusks, squid, dried"
"Turtle, cooked"
"Mollusks, clam, cooked"
"Crustaceans, crab, cooked"
"Crustaceans, crab, canned/cooked"
"Crustaceans, crayfish/crawfish, cooked"
"Crustaceans, lobster, cooked"
"Mollusks, mussels, cooked"
"Mollusks, oysters, raw"
"Mollusks, oysters, cooked"
"Mollusks, oysters, canned"
"Mollusks, oysters, smoked"
"Mollusks, scallops, cooked"
"Crustaceans, shrimp, dried"
"Mollusks, snails, cooked"
"Tomato sauce, canned/cooked"
"Juice, tomato"
"Beans, green/snap, canned/cooked"
"Carrots, canned/cooked"
"Corn (vegetable), canned/cooked"
"Peas, green, canned/cooked"
"Potatoes, canned/cooked, peel not eaten or unknown"
"Peppers, non-bell, canned/cooked"
"Beans, kidney, mature, canned/cooked"
"Spices, chili powder"
"Mushrooms, canned/cooked"
"Protein, textured vegetable"
"Spices, nutmeg, ground"
"Ginger root, cooked"
"Cauliflower, canned/cooked"
"Pineapple, cooked"
"Spices, allspice"
Tomato paste
"Spices, cumin"
"Juice, pineapple, concentrate"
"Pineapple, canned/cooked (pineapple only)"
"Spices, pepper, red/cayenne"
"Coriander (cilantro) leaves, raw"
"Lentils, canned/cooked"
"Peas, edible-podded, cooked"
"Spices, curry powder"
"Tomatoes, canned"
"Parsley, raw"
"Onions, cooked"
"Mollusks, clam, canned/cooked"
"Spices, parsley, dried"
"Flour, potato"
"Fish, snapper, raw"
"Squash, summer, cooked"
"Wheat endosperm, uncooked (consumed cooked/heat-treated)"
"Milk, buttermilk, 1% fat, dried"
"Fat, animal, lamb"
"Broccoli, cooked"
"Carrots, canned"
"Onions, canned"
"Tomato puree, canned"
"Beans, mung, mature, sprouted, canned/cooked"
"Cabbage, cooked"
"Celery, canned/cooked"
"Grape leaves, canned/cooked"
"Juice, beet"
"Juice, carrot"
"Nuts, pine, dried"
"Spices, thyme, dried"
"Okra, canned/cooked"
"Lettuce, iceberg/butterhead, raw"
"Bamboo shoots, canned/cooked"
"Beans, mung, mature, sprouted, raw"
"Collards, canned/cooked"
"Kale, canned/cooked"
"Mustard greens, canned/cooked"
"Turnip greens, canned/cooked"
"Mollusks, oysters, canned/cooked"
"Peppers, non-bell, cooked"
"Seeds, sesame, dried/roasted"
"Sweet potatoes, dehydrated"
"Christophine/chayote, cooked"
"Beans, green/snap, canned"
"Carrots, raw"
"Lettuce, leaf, raw"
"Spinach, raw"
"Lettuce, cos/romaine, raw"
"Mushrooms, raw"
"Peppers, sweet/bell, raw"
"Fish, salmon, canned/cooked"
"Wine, table, NS as to red/white"
"Juice, grape, concentrate"
"Cabbage, raw"
"Spices, turmeric, ground"
"Flour, wheat, whole grain"
"Oat groats (oatmeal), uncooked (consumed cooked/heat-treated)"
"Carrots, cooked"
"Flour, rice, brown"
"Peas, green, cooked"
"Tomato puree, cooked"
"Corn (vegetable), cooked"
"Sweet potatoes, cooked"
"Parsnips, cooked"
"Mushrooms, cooked"
"Potatoes, cooked, peel not eaten or unknown"
"Tomatoes, cooked"
"Beans, green/snap, cooked"
"Wine, sweet, NS as to red/white"
"Wild rice, uncooked (consumed cooked/heat-treated)"
"Cauliflower, cooked"
"Leeks, (bulb and lower-leaf portion), cooked"
"Spinach, cooked"
"Beans, mung, mature, sprouted, cooked"
"Beans, lima, immature, cooked"
"Crustaceans, shrimp, cooked"
"Parsley, cooked"
"Barley, pearled, uncooked (consumed cooked/heat-treated)"
"Broccoli, canned/cooked"
"Corn hominy, canned/cooked"
"Spices, marjoram, dried"
"Chicken, lean and fat, cooked, dried"
"Chicken, lean and fat, dried"
"Chicken, lean and fat, canned/cooked"
"Turkey, lean and fat, canned/cooked"
"Broccoli, Chinese, cooked"
Tofu
"Turkey, lean and fat, canned"
"Crab, canned/cooked"
"Crab, cooked"
"Turkey, variety meat, giblets (incl liver/gizzard), cooked"
"Seeds, pumpkin/squash, roasted"
"Tomatillos, cooked"
"Egg, white, raw"
"Egg, yolk, raw"
"Egg, quail, canned"
"Flour, corn, masa"
"Beans, pinto, mature, cooked"
"Beans, black, mature, cooked"
"Beans, white, mature, cooked"
"Beans, white, mature, canned/cooked"
"Beans, lima, mature, cooked"
"Beans, pink, mature, cooked"
"Beans, pink, mature, canned/cooked"
"Beans, kidney, mature, cooked"
"Beans, soy, mature, cooked"
"Beans, mung, mature, cooked"
"Beans, mungo, mature, cooked"
"Beans, navy, mature, canned/cooked"
"Beans, pinto, mature, canned/cooked"
"Chickpeas (garbanzo beans), mature, canned/cooked"
"Beans, black, mature, canned/cooked"
"Chickpeas (garbanzo beans), mature, raw (consumed cooked/heat-treated)"
"Spices, coriander (cilantro) leaf, dried"
"Beans, pink, mature, raw (consumed cooked/heat-treated)"
"Cowpeas (black-eyed peas), mature, cooked"
"Chickpeas (garbanzo beans), mature, cooked"
"Peas, green, mature (split), cooked"
"Lentils, cooked"
"Beans, soy, mature, dried"
"Miso, cooked"
"Beans, soy, mature, sprouted, cooked"
"Egg, white, dried"
"Beans, white, mature, uncooked (consumed cooked/heat-treated)"
"Pork, lean and fat, canned/cooked"
"Beans, black, mature, canned"
"Celery, canned"
"Beans, pinto, mature, raw (consumed cooked/heat-treated)"
"Parsley, canned/cooked"
"Garlic, canned/cooked"
"Beans, kidney, mature, raw (consumed cooked/heat-treated)"
"Cabbage, canned/cooked"
"Peas, green, mature (split), uncooked (consumed cooked/heat-treated)"
"Nuts, almonds, unroasted"
"Nuts, brazilnuts, roasted/heat-treated"
"Nuts, cashew, roasted/heat-treated"
"Nuts, chestnuts, roasted/heat-treated"
"Nuts, coconut meat, raw"
"Nuts, coconut meat, dried (desiccated)"
"Nuts, hazelnuts or filberts, roasted/heat-treated"
"Nuts, macadamia, unroasted"
"Nuts, macadamia, roasted/heat-treated"
